variable_location,data_product,data_table,provided_variable,variable, note
column_name,ISCN3,layer,wpg2 (percent),coarse_fraction,NA
column_name,ISCN3,layer,zn_ext (specified by metal_ext_units),zinc_extractable,NA
column_name,ISCN3,layer,metal_ext_units (extract_units),zinc_extractable,NA
column_name,ISCN3,layer,metal_ext_method,zinc_extractable,NA
column_name,CCRCN,Study Information,study_id,dataset_name,NA
column_name,CCRCN,Study Information,one_liner,one_liner,NA
column_name,CCRCN,Study Information,study_code,study_code,NA
column_name,CCRCN,Study Information,study_start_date,treatment_duration_start,NA
column_name,CCRCN,Study Information,study_end_date,treatment_duration_end,NA
column_name,CCRCN,Study Information,title,title,NA
column_name,CCRCN,Study Information,abstract,abstract,NA
column_name,CCRCN,Keywords,study_id,dataset_name,NA
column_name,CCRCN,Keywords,key_words,key_words,NA
column_name,CCRCN,Authors,study_id,dataset_name,NA
column_name,CCRCN,Authors,last_name,last_name,NA
column_name,CCRCN,Authors,given_name,given_name,NA
column_name,CCRCN,Authors,institution,institution,NA
column_name,CCRCN,Authors,email,email,NA
column_name,CCRCN,Authors,address,address,NA
column_name,CCRCN,Authors,phone,phone,NA
column_name,CCRCN,Authors,corresponding_author,corresponding_author,NA
column_name,CCRCN,Funding Sources,study_id,dataset_name,NA
column_name,CCRCN,Funding Sources,funding_agency,funding_agency,NA
column_name,CCRCN,Funding Sources,funding_id,funding_name,NA
column_name,CCRCN,Funding Sources,funding_notes,funding_notes,NA
column_name,CCRCN,Associated Publications,study_id,dataset_name,NA
column_name,CCRCN,Associated Publications,bibtex_citation,citation,NA
column_name,CCRCN,Associated Publications,publication_type,publication_type,NA
column_name,CCRCN,Associated Publications,author,author,NA
column_name,CCRCN,Associated Publications,year,year,NA
column_name,CCRCN,Associated Publications,title,title,NA
column_name,CCRCN,Associated Publications,journal,journal,NA
column_name,CCRCN,Associated Publications,volume,volume,NA
column_name,CCRCN,Associated Publications,number,number,NA
column_name,CCRCN,Associated Publications,pages,pages,NA
column_name,CCRCN,Associated Publications,url,url,NA
column_name,CCRCN,Associated Publications,doi,doi,NA
column_name,CCRCN,Associated Publications,address,address,NA
column_name,CCRCN,Associated Publications,annote,annote,NA
column_name,CCRCN,Associated Publications,booktitle,booktitle,NA
column_name,CCRCN,Associated Publications,chapter,chapter,NA
column_name,CCRCN,Associated Publications,crossref,reference,NA
column_name,CCRCN,Associated Publications,edition,edition,NA
column_name,CCRCN,Associated Publications,editor,editor,NA
column_name,CCRCN,Associated Publications,howpublished,publication_method,NA
column_name,CCRCN,Associated Publications,institution,institution,NA
column_name,CCRCN,Associated Publications,key,key,NA
column_name,CCRCN,Associated Publications,month,month,NA
column_name,CCRCN,Associated Publications,note,note,NA
column_name,CCRCN,Associated Publications,organization,organization,NA
column_name,CCRCN,Associated Publications,publisher,publisher,NA
column_name,CCRCN,Associated Publications,school,school,NA
column_name,CCRCN,Associated Publications,series,series,NA
column_name,CCRCN,Associated Publications,type,type,NA
column_name,CCRCN,Materials and Methods,study_id,dataset_name,NA
column_name,CCRCN,Materials and Methods,coring_method,coring_method,NA
column_name,CCRCN,Materials and Methods,roots_flag,roots_flag,NA
column_name,CCRCN,Materials and Methods,sediment_sieved_flag,sediment_sieved_flag,NA
column_name,CCRCN,Materials and Methods,sediment_sieve_size,sediment_sieve_size,NA
column_name,CCRCN,Materials and Methods,compaction_flag,compaction_flag,NA
column_name,CCRCN,Materials and Methods,dry_bulk_density_temperature,bulk_density_dry_temperature,NA
column_name,CCRCN,Materials and Methods,dry_bulk_density_time,bulk_density_dry_time,NA
column_name,CCRCN,Materials and Methods,dry_bulk_density_sample_volume,bulk_density_dry_sample_volume,NA
column_name,CCRCN,Materials and Methods,dry_bulk_density_sample_mass,bulk_density_dry_sample_mass,NA
column_name,CCRCN,Materials and Methods,dry_bulk_density_flag,bulk_density_dry_flag,NA
column_name,CCRCN,Materials and Methods,loss_on_ignition_temperature,loss_on_ignition_temperature,NA
column_name,CCRCN,Materials and Methods,loss_on_ignition_time,loss_on_ignition_time,NA
