table,header,description_header,variable,description_variable,type,entry
site,geo_form,Geologic Formation -,geo_form,NA,value,
site,map,Mean Annual Precipitation - mm,map,NA,value,
site,,,map,,unit,mm
site,mat,Mean Annual Temperature - degree C,mat,NA,value,
site,,,mat,,unit,degree C
site,mast,Mean Annual Soil Temperature - degree C,mast,NA,value,
site,,,,,unit,degree C
site,pond_freq,Ponding Frequency - (pond_freq),pond_freq,NA,value,
site,runoff,Local Runoff Class - (runoff),runoff,NA,value,
site,site_perm,Site Permeability - (site_perm),site_perm,NA,value,
site,water_table_duration,Wet Soil Moisture Duration - days,water_table_duration,NA,value,
site,,,,,unit,days
site,cflux_note,C Flux Notes -,cflux_note,NA,value,
site,climate_note,Climate Notes -,climate_note,NA,value,
site,eco_note,Ecoregion Note -,eco_note,NA,value,
site,photo_note,Photo Notes -,photo_note,NA,value,
site,soiltemp_note,Soil Temperature Notes -,soiltemp_note,NA,value,
site,add_note,Additional Data Note -,add_note,NA,value,
site,soc,Site Calculated Soil Organic Carbon Stock - g cm-2,site_soc,NA,value,
site,,,site_soc,,unit,g cm-2
site,soc_type,Site Calculated Soil Organic Carbon Stock Type - (ccon_type),site_soc_type,NA,value,
site,soc_pcount,Site Calculated Soil Organic Carbon Stock Profile Count -,site_soc_pcount,NA,value,
site,soc_depth,Site Calculated Soil Organic Carbon Stock Depth - cm,site_soc_depth,NA,value,
site,,,site_soc_depth,,unit,cm
site,soc_sigma,Site Calculated Soil Organic Carbon Stock Standard Deviation - g cm-2,site_soc,NA,standard_deviation,
site,soc_method,Site Calculated Soil Organic Carbon Stock Method -,site_soc,NA,method,
cluster,cluster_name,Cluster Name -,cluster_name,NA,id,
cluster,cluster_note,Cluster Notes -,cluster_note,NA,value,
profile,site_name,,site_name,,id,
profile,profile_name,Profile/Plot Name -,profile_name,name for profile,id,
profile,profile_note,Profile Notes -,profile_note,NA,value,
profile,profile_method,Profile Sampling Method -,profile_method,NA,value,
profile,observation_date,Observation Date - YYYY-MM-DD or MM/DD/YYYY,observation_date,day the sample was taken,value,
profile,observation_date_acc,Observation Date Accuracy - (date_qual),observation_date,NA,accuracy,
profile,transect_flag,Part of a Transect Flag - (yes_blank),transect_flag,NA,value,
profile,,,transect_flag,,unit,yes/blank
profile,surface_veg,Surface Vegetation -,surface_veg,NA,value,
profile,soil_taxon,Soil Taxonomy -,soil_taxon,soil taxon,value,
profile,soil_series,Soil Series -,soil_series,soil series name,value,
profile,add_taxon_flag,Complete Taxonomy Flag - (yes_blank),add_taxon_flag,NA,value,
profile,,,add_taxon_flag,,unit,yes/blank
profile,thaw_depth_profile,Thaw Depth of the Profile - cm,thaw_depth_profile,NA,value,
profile,,,thaw_depth_profile,,unit,cm
profile,sampler_names,Sampler Names -,sampler_PersonName,NA,value,
profile,soc_lcount,Profile Calculated Soil Organic Carbon Stock Layer Count -,soil_lcount,NA,value,
layer,site_name,,site_name,,id,
layer,profile_name,,profile_name,,id,
layer,layer_name,Layer Name -,layer_name,name for layer,id,
layer,layer_number,Laboratory Layer Number -,layer_lab_number,NA,value,
layer,labeled_addition,Labeled Addition - (label_add),labeled_addition,NA,value,
layer,layer_top,Layer Top - cm,layer_top,depth to top of the layer,value,
layer,,,layer_top,,unit,cm
layer,layer_bot,Layer Bottom - cm,layer_bottom,depth to bottom of the layer,,
layer,,,layer_bottom,,unit,cm
layer,hzn_desgn,Horizon Designation -,hzn_desgn,horizon desigination (detailes TBD),value,
layer,hzn_desgn_other,Horizon Designation Other -,hzn_desgn_other,other horizon desigination,value,
